scrap_id,work_order_id,inspection_id,scrap_date,machine_id,operator_id,shift_code,material_type,lot_id,defect_code_clean,quantity_scrapped,quantity_reworked,scrap_reason_raw,scrap_reason_clean,material_cost_per_unit,labor_cost_per_unit,total_scrap_cost
SCRAP-1,WO-10001,INSP-2,2023-01-02 10:41:14.937846723,M06,OP019,Shift A,Aluminum 5052,,Dimensional,1,1,First Article Fail,SETUP_ERROR,10.38,109.38,119.76
SCRAP-2,WO-10002,INSP-3,2023-01-02 19:19:19.517729342,M03,OP010,Shift B,Stainless 304,,Dimensional,0,1,OPERATOR_ERROR,OPERATOR_ERROR,21.11,143.17,0.0
SCRAP-3,WO-10003,INSP-4,2023-01-02 08:48:06.480925305,M05,OP018,Shift A,14ga Steel,LOT-1003,Dimensional,0,1,Operator Error,OPERATOR_ERROR,37.58,138.17,0.0
SCRAP-4,WO-10005,INSP-6,2023-01-02 12:00:44.475376465,M02,OP015,Shift A,12ga Steel,,Dimensional,0,1,set up error,SETUP_ERROR,20.52,127.44,0.0
SCRAP-5,WO-10007,INSP-8,2023-01-03 20:06:57.035401435,M06,OP003,Shift B,Stainless 304,,Dimensional,0,1,set up error,SETUP_ERROR,10.1,175.73,0.0
SCRAP-6,WO-10009,INSP-10,2023-01-03 09:50:53.154793905,M04,OP005,Shift A,"1/4"" Plate",LOT-1002,Dimensional,0,1,material defect,MATERIAL_DEFECT,52.16,170.44,0.0
SCRAP-7,WO-10017,INSP-19,2023-01-03 20:38:28.817634126,M01,OP003,Shift B,Aluminum 5052,,Incorrect Material,0,1,Incoming Defect,MATERIAL_DEFECT,22.71,150.47,0.0
SCRAP-8,WO-10020,INSP-22,2023-01-04 21:17:02.206338889,M05,OP012,,Aluminum 5052,,Weld Defect,2,2,Mat Defect,MATERIAL_DEFECT,11.87,190.29,404.32
SCRAP-9,WO-10020,INSP-23,2023-01-04 21:50:02.206338889,M05,OP012,,Aluminum 5052,,Weld Defect,3,1,Machine,MACHINE_ISSUE,19.28,182.71,605.97
SCRAP-10,WO-10025,INSP-28,2023-01-04 16:39:07.858668064,M07,OP003,,"3/8"" Plate",,Dimensional,0,1,Operator,OPERATOR_ERROR,19.92,171.63,0.0
SCRAP-11,WO-10026,INSP-29,2023-01-04 15:35:07.889068196,M04,OP008,Shift B,Stainless 304,,Burr,0,1,Mat Defect,MATERIAL_DEFECT,11.52,109.75,0.0
SCRAP-12,WO-10028,INSP-31,2023-01-04 10:33:21.973692922,M06,OP015,Shift A,"3/8"" Plate",,Porosity,1,1,human error,OPERATOR_ERROR,15.33,158.77,174.1
SCRAP-13,WO-10028,INSP-32,2023-01-04 10:56:21.973692922,M06,OP015,Shift A,"3/8"" Plate",,Porosity,1,1,Material Defect,MATERIAL_DEFECT,19.14,96.39,115.53
SCRAP-14,WO-10033,INSP-37,2023-01-05 10:21:19.364527426,M02,OP004,Shift A,Stainless 304,,Surface Scratch,0,1,Material Defect,MATERIAL_DEFECT,14.05,190.67,0.0
SCRAP-15,WO-10034,INSP-38,2023-01-05 12:22:30.456761445,M06,OP005,Shift A,14ga Steel,LOT-1003,Dimensional,1,1,SETUP_ERROR,SETUP_ERROR,64.08,172.0,236.08
SCRAP-16,WO-10034,INSP-39,2023-01-05 12:58:30.456761445,M06,OP005,Shift A,14ga Steel,LOT-1003,Dimensional,1,1,Setup,SETUP_ERROR,45.33,83.27,128.6
SCRAP-17,WO-10035,INSP-40,2023-01-05 18:59:43.677030235,M02,OP001,Shift B,"1/4"" Plate",LOT-1002,Surface Scratch,0,1,First Article Fail,SETUP_ERROR,58.04,156.93,0.0
SCRAP-18,WO-10046,INSP-51,2023-01-06 18:23:03.615925402,M04,OP012,Shift B,Stainless 304,,Bend Angle,2,1,Mach Issue,MACHINE_ISSUE,13.97,105.83,239.6
SCRAP-19,WO-10047,INSP-52,2023-01-06 17:00:18.950533195,M06,OP007,,16ga Steel,LOT-1001,Porosity,1,1,Machine Issue,MACHINE_ISSUE,65.8,147.94,213.74
SCRAP-20,WO-10050,INSP-55,2023-01-06 17:37:55.144782115,M06,OP007,Shift B,16ga Steel,LOT-1001,Dimensional,2,3,First Article Fail,SETUP_ERROR,45.52,80.89,252.82
SCRAP-21,WO-10051,INSP-56,2023-01-06 12:22:36.209250781,M05,OP013,Shift A,"1/4"" Plate",LOT-1002,Surface Scratch,0,1,bad material,MATERIAL_DEFECT,79.68,149.55,0.0
SCRAP-22,WO-10052,INSP-57,2023-01-06 09:12:05.178341593,M02,OP017,Shift A,12ga Steel,,Surface Scratch,0,1,UNKNOWN,UNKNOWN,17.94,196.38,0.0
SCRAP-23,WO-10053,INSP-58,2023-01-07 09:09:08.702570908,M06,OP018,Shift A,Aluminum 5052,,Weld Defect,0,1,Machine,MACHINE_ISSUE,11.72,185.6,0.0
SCRAP-24,WO-10055,INSP-60,2023-01-07 11:54:33.519280706,M05,OP005,Shift A,12ga Steel,LOT-1000,Porosity,1,1,human error,OPERATOR_ERROR,25.98,94.77,120.75
SCRAP-25,WO-10062,INSP-68,2023-01-07 09:22:45.616211731,M01,OP019,Shift A,Aluminum 5052,,Surface Scratch,1,1,SETUP_ERROR,SETUP_ERROR,13.95,137.57,151.52
