inspection_id,work_order_id,inspection_date,inspector_id,quantity_inspected,quantity_passed,quantity_failed,defect_code_raw,defect_code_clean,disposition,notes
INSP-1,WO-10000,2023-01-02 15:43:45.174234607,OP008,25,24,1,DIMENSIONAL,Dimensional,Rework,
INSP-2,WO-10001,2023-01-02 08:58:55.133478901,OP008,152,139,13,weld def.,Weld Defect,Rework,
INSP-3,WO-10002,2023-01-02 17:59:16.221099578,OP009,59,46,13,Dimension Error,Dimensional,Rework,
INSP-4,WO-10003,2023-01-02 09:20:01.515735080,OP011,434,409,25,Porosity,Porosity,Scrap,Much section investment on gun young catch.
INSP-5,WO-10004,2023-01-02 11:42:55.478027044,OP018,453,433,20,Dimensional,Dimensional,Use-As-Is,
INSP-6,WO-10005,2023-01-02 18:25:00.019988300,OP019,283,271,12,BURR,Burr,Rework,Before another body physical society instead as.
INSP-7,WO-10006,2023-01-02 18:11:08.085010354,OP008,38,38,0,NONE,None,Pass,
INSP-8,WO-10007,2023-01-03 16:56:54.996373928,OP009,212,197,15,Dimentional,Dimensional,Use-As-Is,
INSP-9,WO-10008,2023-01-03 11:39:51.854126795,OP013,80,75,5,weld defect,Weld Defect,Use-As-Is,
INSP-10,WO-10009,2023-01-03 12:25:34.201107074,OP008,205,192,13,Dimension Error,Dimensional,Scrap,
INSP-11,WO-10010,2023-01-03 19:57:35.137372227,OP011,394,381,13,BEND,Bend Angle,Rework,
INSP-12,WO-10011,2023-01-03 09:43:31.058697268,OP018,269,236,33,dim.,Dimensional,Scrap,
INSP-13,WO-10012,2023-01-03 08:37:12.996298347,OP017,19,17,2,Weld,Weld Defect,Scrap,Other life edge network wall quite.
INSP-14,WO-10013,2023-01-03 10:38:51.685702680,OP003,427,407,20,Poros.,Porosity,Scrap,
INSP-15,WO-10014,2023-01-03 09:06:24.631176198,OP018,320,306,14,surface scr,Surface Scratch,Scrap,
INSP-16,WO-10015,2023-01-03 10:30:30.324042533,OP009,241,231,10,dim.,Dimensional,Rework,
INSP-17,WO-10016,2023-01-03 18:47:15.043440393,OP007,333,317,16,POROSITY,Porosity,Scrap,Race Mr environment political.
